time,luminosity,timeErrPos,timeErrNeg,luminosityErrPos,luminosityErrNeg,index,indexErrPos,indexErrNeg
67.7718,2.37253e+50,0.173913,0.168857,4.9618e+49,4.31084e+49,1.58228,0.147341,-0.122584
68.1534,1.92917e+50,0.199865,0.20728,3.72179e+49,3.31954e+49,1.5233,0.132373,-0.110196
68.5349,2.3817e+50,0.138861,0.181665,4.7725e+49,4.26473e+49,1.47043,0.143445,-0.119892
68.8719,1.96313e+50,0.201887,0.19818,3.80036e+49,3.42063e+49,1.52241,0.135244,-0.113126
69.2504,2.59789e+50,0.153017,0.176609,4.94518e+49,4.46294e+49,1.65836,0.131056,-0.110082
69.6414,2.02162e+50,0.205258,0.237951,3.99489e+49,3.57934e+49,1.69808,0.140831,-0.118328
70.0327,2.18686e+50,0.192113,0.186047,4.1204e+49,3.70347e+49,1.59682,0.12889,-0.107702
70.4351,1.91865e+50,0.183013,0.210313,3.80944e+49,3.41488e+49,1.63119,0.141978,-0.118606
70.7007,2.19765e+50,0.0893158,0.082238,3.90583e+49,3.60046e+49,1.85767,0.119465,-0.101282
70.9023,1.73436e+50,0.129761,0.112235,3.60058e+49,3.26386e+49,2.02897,0.154335,-0.13161
71.1277,2.18132e+50,0.108527,0.0953825,3.87954e+49,3.58647e+49,2.07871,0.119624,-0.102082
71.3374,1.48347e+50,0.101449,0.101112,2.90059e+49,2.73793e+49,2.11306,0.114591,-0.098013
71.5241,1.83617e+50,0.0923492,0.0852713,3.91499e+49,3.62646e+49,2.14357,0.142992,-0.122429
71.7283,2.27648e+50,0.0893158,0.112235,4.16404e+49,3.82539e+49,2.1125,0.125912,-0.106952
71.9184,1.73116e+50,0.110549,0.100775,3.48607e+49,3.15902e+49,2.05977,0.13902,-0.114867
72.1385,1.85798e+50,0.110886,0.109875,4.48098e+49,3.897e+49,2.00335,0.191201,-0.156761
72.3596,1.41387e+50,0.0815639,0.110212,3.06993e+49,2.79828e+49,1.98732,0.143154,-0.117259
72.5352,1.42816e+50,0.0943714,0.0936973,3.62972e+49,3.21308e+49,1.97463,0.189271,-0.154934
72.7162,1.48964e+50,0.107516,0.0866195,3.38298e+49,3.05123e+49,2.0543,0.157531,-0.129159
72.939,1.4268e+50,0.11156,0.115268,3.06008e+49,2.80117e+49,2.17505,0.141779,-0.117462
73.148,1.877e+50,0.0930233,0.0974048,4.75357e+49,4.24836e+49,2.28531,0.188249,-0.156597
73.3404,1.71719e+50,0.10246,0.09909,3.71095e+49,3.39704e+49,2.25067,0.143862,-0.119572
73.5581,1.50093e+50,0.106505,0.115268,3.22285e+49,2.9498e+49,2.21159,0.1421,-0.117753
73.7654,1.40563e+50,0.127738,0.100775,3.56296e+49,3.17506e+49,2.17449,0.188503,-0.156038
73.9926,1.90144e+50,0.0785305,0.0997641,4.18267e+49,3.81196e+49,2.22722,0.148735,-0.123249
74.2406,1.21645e+50,0.131109,0.169532,2.55808e+49,2.35495e+49,2.29242,0.136381,-0.113563
74.4938,1.60804e+50,0.124368,0.122346,3.8986e+49,3.51214e+49,2.35871,0.175806,-0.146773
74.7529,1.60882e+50,0.119312,0.134816,3.55943e+49,3.25204e+49,2.38874,0.150322,-0.125524
